,name,rating,reviews,type,hq,old,employees
0,TCS,3.9,16.1k Reviews,Public,Mumbai + 156 more,52 years old,10000+ employees
1,Accenture,4.0,14.1k Reviews,Private,Dublin + 87 more,31 years old,10000+ employees
2,ICICI Bank,4.1,12.7k Reviews,Public,Mumbai + 724 more,26 years old,10000+ employees
3,Cognizant,3.9,12.1k Reviews,Private,Teaneck + 44 more,26 years old,10000+ employees
4,HDFC Bank,4.0,10.8k Reviews,Public,Mumbai + 689 more,26 years old,10000+ employees
5,Infosys,3.9,10.8k Reviews,Public,Bangalore + 64 more,39 years old,10000+ employees
6,L&T,4.1,10.2k Reviews,Public,Mumbai + 333 more,82 years old,10000+ employees
7,Capgemini,3.3,9.6k Reviews,Private,Paris + 42 more,53 years old,10000+ employees
8,Tech Mahindra,3.5,9.1k Reviews,Public,Pune + 138 more,34 years old,10000+ employees
9,HCL Technologies,3.7,8.7k Reviews,Public,Noida + 106 more,14 years old,10000+ employees
10,Tata Motors,4.1,8.3k Reviews,Public,Pune + 336 more,75 years old,10000+ employees
11,IBM,4.0,8.2k Reviews,Private,New York + 69 more,109 years old,10000+ employees
12,Reliance jio,4.0,7.9k Reviews,Public,Navi Mumbai + 587 more,10 years old,10000+ employees
13,Genpact,4.0,7.6k Reviews,Private,New York + 31 more,23 years old,10000+ employees
14,Axis Bank,4.0,7.6k Reviews,Public,Mumbai + 642 more,27 years old,10000+ employees
15,Wipro,3.8,6.5k Reviews,Public,Bangalore + 115 more,75 years old,10000+ employees
16,Concentrix Daksh Service...,4.0,6.2k Reviews,New Delhi + 35 more,21 years old,10000+ employees,
17,Vodafone,4.3,5.9k Reviews,Public,Berkshire + 366 more,38 years old,10000+ employees
18,HDB Financial Services,4.0,5.5k Reviews,Private,Ahmedabad + 433 more,13 years old,10000+ employees
19,Bharti Airtel,4.2,5.4k Reviews,Public,New Delhi + 339 more,25 years old,10000+ employees
20,Kotak Mahindra Bank,3.8,5.1k Reviews,Public,Mumbai + 344 more,17 years old,10000+ employees
21,Amazon,4.2,4.8k Reviews,Private,Washington + 156 more,26 years old,10000+ employees
22,Reliance,4.2,4.6k Reviews,Public,Mumbai + 206 more,54 years old,10000+ employees
23,Hinduja Global Solutions,3.9,4.1k Reviews,Public,Bangalore + 73 more,20 years old,10000+ employees
24,Bajaj Finserv,4.1,3.8k Reviews,Public,Pune + 450 more,13 years old,10000+ employees
25,IndusInd Bank,3.6,3.7k Reviews,Public,Mumbai + 354 more,26 years old,10000+ employees
26,Samsung,4.2,3.5k Reviews,Private,Seoul + 286 more,82 years old,10000+ employees
27,Indian Army,4.7,3.4k Reviews,Govt agency,New Delhi + 192 more,125 years old,10000+ employees
28,Mahindra & Mahindra,4.3,3.2k Reviews,Public,Mumbai + 275 more,75 years old,10000+ employees
29,Ericsson,4.1,3.1k Reviews,Private,Stockholm + 110 more,144 years old,10000+ employees
30,TCS,3.9,16.1k Reviews,Public,Mumbai + 156 more,52 years old,10000+ employees
31,Accenture,4.0,14.1k Reviews,Private,Dublin + 87 more,31 years old,10000+ employees
32,ICICI Bank,4.1,12.7k Reviews,Public,Mumbai + 724 more,26 years old,10000+ employees
33,Cognizant,3.9,12.1k Reviews,Private,Teaneck + 44 more,26 years old,10000+ employees
34,HDFC Bank,4.0,10.8k Reviews,Public,Mumbai + 689 more,26 years old,10000+ employees
35,Infosys,3.9,10.8k Reviews,Public,Bangalore + 64 more,39 years old,10000+ employees
36,L&T,4.1,10.2k Reviews,Public,Mumbai + 333 more,82 years old,10000+ employees
37,Capgemini,3.3,9.6k Reviews,Private,Paris + 42 more,53 years old,10000+ employees
38,Tech Mahindra,3.5,9.1k Reviews,Public,Pune + 138 more,34 years old,10000+ employees
39,HCL Technologies,3.7,8.7k Reviews,Public,Noida + 106 more,14 years old,10000+ employees
40,Tata Motors,4.1,8.3k Reviews,Public,Pune + 336 more,75 years old,10000+ employees
41,IBM,4.0,8.2k Reviews,Private,New York + 69 more,109 years old,10000+ employees
42,Reliance jio,4.0,7.9k Reviews,Public,Navi Mumbai + 587 more,10 years old,10000+ employees
43,Genpact,4.0,7.6k Reviews,Private,New York + 31 more,23 years old,10000+ employees
44,Axis Bank,4.0,7.6k Reviews,Public,Mumbai + 642 more,27 years old,10000+ employees
45,Wipro,3.8,6.5k Reviews,Public,Bangalore + 115 more,75 years old,10000+ employees
46,Concentrix Daksh Service...,4.0,6.2k Reviews,New Delhi + 35 more,21 years old,10000+ employees,
47,Vodafone,4.3,5.9k Reviews,Public,Berkshire + 366 more,38 years old,10000+ employees
48,HDB Financial Services,4.0,5.5k Reviews,Private,Ahmedabad + 433 more,13 years old,10000+ employees
49,Bharti Airtel,4.2,5.4k Reviews,Public,New Delhi + 339 more,25 years old,10000+ employees
50,Kotak Mahindra Bank,3.8,5.1k Reviews,Public,Mumbai + 344 more,17 years old,10000+ employees
51,Amazon,4.2,4.8k Reviews,Private,Washington + 156 more,26 years old,10000+ employees
52,Reliance,4.2,4.6k Reviews,Public,Mumbai + 206 more,54 years old,10000+ employees
53,Hinduja Global Solutions,3.9,4.1k Reviews,Public,Bangalore + 73 more,20 years old,10000+ employees
54,Bajaj Finserv,4.1,3.8k Reviews,Public,Pune + 450 more,13 years old,10000+ employees
55,IndusInd Bank,3.6,3.7k Reviews,Public,Mumbai + 354 more,26 years old,10000+ employees
56,Samsung,4.2,3.5k Reviews,Private,Seoul + 286 more,82 years old,10000+ employees
57,Indian Army,4.7,3.4k Reviews,Govt agency,New Delhi + 192 more,125 years old,10000+ employees
58,Mahindra & Mahindra,4.3,3.2k Reviews,Public,Mumbai + 275 more,75 years old,10000+ employees
59,Ericsson,4.1,3.1k Reviews,Private,Stockholm + 110 more,144 years old,10000+ employees
60,TCS,3.9,16.1k Reviews,Public,Mumbai + 156 more,52 years old,10000+ employees
61,Accenture,4.0,14.1k Reviews,Private,Dublin + 87 more,31 years old,10000+ employees
62,ICICI Bank,4.1,12.7k Reviews,Public,Mumbai + 724 more,26 years old,10000+ employees
63,Cognizant,3.9,12.1k Reviews,Private,Teaneck + 44 more,26 years old,10000+ employees
64,HDFC Bank,4.0,10.8k Reviews,Public,Mumbai + 689 more,26 years old,10000+ employees
65,Infosys,3.9,10.8k Reviews,Public,Bangalore + 64 more,39 years old,10000+ employees
66,L&T,4.1,10.2k Reviews,Public,Mumbai + 333 more,82 years old,10000+ employees
67,Capgemini,3.3,9.6k Reviews,Private,Paris + 42 more,53 years old,10000+ employees
68,Tech Mahindra,3.5,9.1k Reviews,Public,Pune + 138 more,34 years old,10000+ employees
69,HCL Technologies,3.7,8.7k Reviews,Public,Noida + 106 more,14 years old,10000+ employees
70,Tata Motors,4.1,8.3k Reviews,Public,Pune + 336 more,75 years old,10000+ employees
71,IBM,4.0,8.2k Reviews,Private,New York + 69 more,109 years old,10000+ employees
72,Reliance jio,4.0,7.9k Reviews,Public,Navi Mumbai + 587 more,10 years old,10000+ employees
73,Genpact,4.0,7.6k Reviews,Private,New York + 31 more,23 years old,10000+ employees
74,Axis Bank,4.0,7.6k Reviews,Public,Mumbai + 642 more,27 years old,10000+ employees
75,Wipro,3.8,6.5k Reviews,Public,Bangalore + 115 more,75 years old,10000+ employees
76,Concentrix Daksh Service...,4.0,6.2k Reviews,New Delhi + 35 more,21 years old,10000+ employees,
77,Vodafone,4.3,5.9k Reviews,Public,Berkshire + 366 more,38 years old,10000+ employees
78,HDB Financial Services,4.0,5.5k Reviews,Private,Ahmedabad + 433 more,13 years old,10000+ employees
79,Bharti Airtel,4.2,5.4k Reviews,Public,New Delhi + 339 more,25 years old,10000+ employees
80,Kotak Mahindra Bank,3.8,5.1k Reviews,Public,Mumbai + 344 more,17 years old,10000+ employees
81,Amazon,4.2,4.8k Reviews,Private,Washington + 156 more,26 years old,10000+ employees
82,Reliance,4.2,4.6k Reviews,Public,Mumbai + 206 more,54 years old,10000+ employees
